Ticker,Up Probability
MU,0.8564930185242412
DXCM,0.8533509257010646
AMAT,0.7887519661384863
KLAC,0.7546496997016071
LRCX,0.7484535494965766
ADI,0.7370919247301009
GEHC,0.7123446642996233
CSX,0.7078672576331487
KHC,0.7071343122434409
ON,0.6740394208870966
LULU,0.645102976922564
KDP,0.6418503220658179
NXPI,0.6363202442379897
MDLZ,0.6330283120074196
INTC,0.6238001346338327
SBUX,0.6212017421933419
MNST,0.6155168201775693
BKR,0.6023106409585639
CSCO,0.5991647992931459
FAST,0.5929466249218549
NFLX,0.5885083758444553
XEL,0.5852751031572562
DLTR,0.5820570952943188
AEP,0.580759979711493
PCAR,0.5657147334888168
AMZN,0.5647111252668483
AAPL,0.5635436302201662
ODFL,0.5628598193292589
ASML,0.5514960421384192
VRTX,0.5477326542481272
GOOG,0.5412778790284792
ZM,0.54113428234498
BKNG,0.5406237568349799
GOOGL,0.5388184057265287
TXN,0.5371739633170196
ADP,0.534078980496868
MELI,0.5321549314886539
AVGO,0.5272074749865512
GILD,0.5265868247265381
ABNB,0.5265714119441037
META,0.5243802587997339
CPRT,0.5226791063549411
MAR,0.5224136536384575
PANW,0.5202781172193683
PEP,0.519465940073967
MCHP,0.5190764574696547
ZS,0.5177803919552106
CDNS,0.5174573574297838
DOCU,0.5162686948752087
PDD,0.514813267015697
WDAY,0.5043092343950182
CCEP,0.5040870782185762
BIIB,0.5015978169339885
ADSK,0.5001554603248229
MSFT,0.4982790808440538
PAYX,0.4970281176385317
CRWD,0.48746372641632796
ILMN,0.4837533139974682
SNPS,0.47919597548119647
ROST,0.4786440787558516
TTWO,0.4774910168181831
RIVN,0.4773424938344707
ENPH,0.47719569757065244
SHOP,0.47706377631864944
AMD,0.4765108512303376
CMCSA,0.4736769238746315
PYPL,0.47261796653715016
NVDA,0.4705094358884353
QCOM,0.47038274842701916
DDOG,0.4667108851872179
IDXX,0.4630850506295664
MRVL,0.455263724920593
TMUS,0.4486174417521923
LCID,0.442189099722912
MDB,0.4395654807697975
ORLY,0.4393551555863904
DASH,0.4374715729200967
INTU,0.43660517942956806
CTAS,0.435519977407415
ADBE,0.43203148659469853
HON,0.4297950332496006
TTD,0.42068314502677856
CHTR,0.3938952080489585
FTNT,0.39373343169657765
AMGN,0.38064342844170385
ARM,0.377311190608378
FANG,0.375422051808369
JD,0.37308399418797245
ISRG,0.3578217655224412
WBD,0.3477664623550493
REGN,0.3326660940276118
EXC,0.3112254857498077
CSGP,0.2879182791262566
TEAM,0.27217045062933054
TSLA,0.25924529283706904
COST,0.21344065565252113
EA,0.07081359130210309
